Key,en,es,ar
Home,Home,Hogar,بيت
About Us,About Us,Sobre nosotros,معلومات عنا
Services,Services,Servicios,خدمات
Web Journal,Web Journal,Diario Web,مجلة الويب
Developer,Developer,Desarrollador,مطور
Contact,Contact,Contacto,اتصال
Join Now,Join Now,Únete ahora,نضم الان
Enter Email,Enter Email,Ingrese correo electrónico,أدخل البريد الإلكتروني
Enter Password,Enter Password,Introducir la contraseña,أدخل كلمة المرور
Forgot Password,Forgot Password,Has olvidado tu contraseña,هل نسيت كلمة السر
Login Now,Login Now,Inicia sesión ahora,تسجيل الدخول الآن
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟
Register Now,Register Now,Regístrate ahora,سجل الان
By clicking Login you are agreeing with our,By clicking Login you are agreeing with our,Al hacer clic en Iniciar sesión estás de acuerdo con nuestra,بالنقر فوق تسجيل الدخول، فإنك توافق على موافقتنا
Terms of feature,Terms of feature,Términos de característica,شروط الميزة
First Name,First Name,Nombre de pila,الاسم الأول
Last Name,Last Name,Apellido,اسم العائلة
Email,Email,Correo electrónico,بريد إلكتروني
Password,Password,Contraseña,كلمة المرور
I have agreed with,I have agreed with,he estado de acuerdo con,لقد اتفقت مع
Terms Of Use & Privacy Policy,Terms Of Use & Privacy Policy,Términos de uso y política de privacidad,شروط الاستخدام وسياسة الخصوصية
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
Dashboard,Dashboard,Panel,لوحة القيادة
Payments,Payments,Pagos,المدفوعات
2FA Security,2FA Security,Seguridad 2FA,2FA الأمن
Logout,Logout,Cerrar sesión,تسجيل خروج
Need Help?,Need Help?,¿Necesitas ayuda?,تحتاج مساعدة؟
Please check our docs,Please check our docs,Por favor consulte nuestros documentos,يرجى التحقق من مستنداتنا
Get Support,Get Support,Obtener apoyo,احصل على الدعم
Are you sure to,Are you sure to,¿Estás seguro de,هل أنت متأكد من ذلك
Profile,Profile,Perfil,حساب تعريفي
Profile Settings,Profile Settings,Configuración de perfil,إعدادات الملف الشخصي
Delete Profile,Delete Profile,Borrar perfil,حذف الملف الشخصي
Country,Country,País,دولة
Select Country,Select Country,Seleccionar país,حدد الدولة
Phone,Phone,Teléfono,هاتف
Address,Address,DIRECCIÓN,عنوان
City,City,Ciudad,مدينة
State,State,Estado,ولاية
Enter First Name,Enter First Name,Introduzca el nombre,أدخل الاسم الأول
Enter Last Name,Enter Last Name,Introduzca el apellido,إدخال اسم آخر
Enter Number,Enter Number,Ingresar número,أدخل رقم
Enter Address,Enter Address,Ingresa la direccion,أدخل العنوان
Enter City,Enter City,Ingrese la ciudad,أدخل المدينة
Enter State,Enter State,Ingresar estado,إدخال الدولة
Zip Code,Zip Code,Código postal,الرمز البريدي
Enter Zip,Enter Zip,Ingresar código postal,أدخل الرمز البريدي
Update,Update,Actualizar,تحديث
Something went wrong! Please try again.,Something went wrong! Please try again.,¡Algo salió mal! Inténtalo de nuevo.,هناك خطأ ما! حاول مرة اخرى.
Profile successfully updated!,Profile successfully updated!,¡Perfil actualizado exitosamente!,تم تحديث الملف الشخصي بنجاح!
The firstname field is required.,The firstname field is required.,El campo de nombre es obligatorio.,الحقل الأول مطلوب.
The lastname field is required.,The lastname field is required.,El campo de apellido es obligatorio.,حقل الاسم الأخير مطلوب.
The current password field is required.,The current password field is required.,El campo de contraseña actual es obligatorio.,حقل كلمة المرور الحالية مطلوب.
The password field is required.,The password field is required.,El campo de contraseña es obligatorio.,حقل كلمة المرور مطلوب.
Change,Change,Cambiar,يتغير
Current password didn\'t match,Current password didn\'t match,La contraseña actual no coincide,كلمة المرور الحالية غير متطابقة
Password successfully updated!,Password successfully updated!,¡Contraseña actualizada exitosamente!,تم تحديث كلمة المرور بنجاح!
Your account deleted successfully!,Your account deleted successfully!,¡Tu cuenta se eliminó exitosamente!,تم حذف حسابك بنجاح!
Are you sure to delete your account?,Are you sure to delete your account?,¿Estás seguro de eliminar tu cuenta?,هل أنت متأكد من حذف حسابك؟
If you do not think you will use,If you do not think you will use,Si no crees que lo usarás,إذا كنت لا تعتقد أنك سوف تستخدم
"again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","again and like your account deleted. Keep in mind you will not be able to reactivate your account or retrieve any of the content or information you have added. If you would still like your account deleted, click “Delete Account”.?","nuevamente y dale me gusta a tu cuenta eliminada. Tenga en cuenta que no podrá reactivar su cuenta ni recuperar el contenido o la información que haya agregado. Si aún desea eliminar su cuenta, haga clic en ""Eliminar cuenta"".","مرة أخرى ومثل حذف حسابك. ضع في اعتبارك أنك لن تتمكن من إعادة تنشيط حسابك أو استرداد أي من المحتوى أو المعلومات التي أضفتها. إذا كنت لا تزال ترغب في حذف حسابك، فانقر فوق ""حذف الحساب""."
Confirm,Confirm,Confirmar,يتأكد
Close,Close,Cerca,يغلق
Account successfully verified,Account successfully verified,Cuenta verificada exitosamente,تم التحقق من الحساب بنجاح
Please verify your mail address. Check your mail inbox to get verification code,Please verify your mail address. Check your mail inbox to get verification code,Por favor verifique su dirección de correo. Revisa tu bandeja de entrada de correo para obtener el código de verificación,يرجى التحقق من عنوان البريد الخاص بك. تحقق من صندوق البريد الوارد الخاص بك للحصول على رمز التحقق
Mail Resend Success!,Mail Resend Success!,¡Reenvío de correo exitoso!,نجاح إعادة إرسال البريد!
Please enter the code,Please enter the code,Por favor ingresa el código,الرجاء إدخال الرمز
We sent a 6 digit code here,We sent a 6 digit code here,Enviamos un código de 6 dígitos aquí.,لقد أرسلنا رمزًا مكونًا من 6 أرقام هنا
You can resend the code after,You can resend the code after,Puedes reenviar el código después,يمكنك إعادة إرسال الرمز بعد ذلك
Submit,Submit,Entregar,يُقدِّم
Back To,Back To,De regreso,ارجع الى
Didn't get the code?,Didn't get the code?,¿No recibiste el código?,لم تحصل على الرمز؟
Resend,Resend,Reenviar,إعادة إرسال
Mail Authorization,Mail Authorization,Autorización de correo,ترخيص البريد
Reset Your Forgotten Password?,Reset Your Forgotten Password?,¿Restablecer su contraseña olvidada?,إعادة تعيين كلمة المرور المنسية؟
